timestamp_s,node_id,cpu_percent,latency_ms,packet_loss_percent,throughput_mbps
0,core-01,34.4419,4.155299,0.067178,31080.0
0,core-02,36.497688,4.726966,0.100653,31698.060353
0,core-03,38.732231,4.913354,0.042658,32295.027851
0,aggregation-01,42.495914,10.290638,0.091823,6100.812619
0,access-01,42.769378,18.434389,0.139807,254.061771
0,access-02,43.478203,18.061133,0.148997,257.244692
0,access-03,42.008818,19.445016,0.041739,259.729886
0,aggregation-02,38.124055,10.610631,0.063082,6372.418199
0,access-04,35.626299,19.448676,0.082767,262.29455
0,access-05,32.633628,18.750223,0.04491,262.286493
0,access-06,29.67664,19.02419,0.097064,261.408645
0,aggregation-03,27.117607,10.556738,0.098234,6329.967305
0,access-07,26.816928,18.284276,0.121579,257.192076
0,access-08,26.418406,17.70408,0.057324,253.997255
0,access-09,26.249132,17.411516,0.129117,250.215535
0,aggregation-04,28.001683,8.632978,0.066785,5995.664424
0,access-10,32.038347,17.077245,0.094112,241.423264
0,access-11,35.615733,15.946891,0.082989,236.712772
0,access-12,37.729226,16.681108,0.063547,232.005257
0,aggregation-05,40.915365,7.524622,0.054857,5544.370985
0,access-13,39.007707,15.319939,0.075635,223.236195
0,access-14,40.651148,14.746516,0.072449,219.473915
0,access-15,40.206413,15.50406,0.082009,216.30293
0,aggregation-06,42.541057,7.187165,0.097435,5212.141834
0,access-16,38.332807,15.412301,0.053542,212.143848
0,access-17,36.159901,14.870515,0.097351,211.297689
0,access-18,31.845787,15.475027,0.152237,211.32186
1,core-01,34.404292,3.762087,0.097664,31149.994936
1,core-02,37.339267,4.723843,0.090604,31766.72679
1,core-03,39.986596,4.622272,0.061479,32360.022376
1,aggregation-01,39.711738,10.08367,0.117976,6111.789172
1,access-01,42.803792,18.683673,0.122448,254.451846
1,access-02,42.509664,18.295277,0.067442,257.56121
1,access-03,41.349179,19.758563,0.039265,259.962046
1,aggregation-02,37.668462,10.354404,0.048723,6375.827721
1,access-04,36.113881,18.383788,0.118682,262.337372
1,access-05,31.388266,19.142563,0.049721,262.230798
1,access-06,29.314162,18.969241,0.035897,261.256334
1,aggregation-03,27.704708,9.556158,0.060136,6324.026402
1,access-07,26.875373,17.021901,0.091815,256.865246
1,access-08,26.034427,17.314843,0.080353,253.598479
1,access-09,27.408082,16.844212,0.124171,249.758422
1,aggregation-04,28.736199,8.667572,0.080027,5983.480562
1,access-10,29.948834,16.245665,0.080934,240.897735
1,access-11,34.807918,16.027367,0.098265,236.179499
1,access-12,36.459308,16.478522,0.096233,231.48244
1,aggregation-05,38.672656,7.510382,0.066678,5532.31709
1,access-13,41.796408,16.07407,0.089561,222.786851
1,access-14,42.752607,14.932614,0.035206,219.085081
1,access-15,40.558808,16.816349,0.093828,215.987876
1,aggregation-06,40.924387,7.579232,0.09548,5206.522851
1,access-16,38.140487,15.638049,0.096216,212.005725
1,access-17,33.568445,15.878965,0.03902,211.256679
1,access-18,32.163685,16.283774,0.074058,211.379362
2,core-01,33.741538,4.54946,0.081991,31219.959494
2,core-02,37.799279,4.735475,0.053895,31835.09518
2,core-03,38.765677,5.305116,0.076009,32424.461356
2,aggregation-01,42.482633,10.443758,0.1013,6122.618251
2,access-01,41.421561,18.948846,0.110985,254.83426
2,access-02,40.116583,18.313743,0.051968,257.868718
2,access-03,40.379148,18.552734,0.094103,260.184153
2,aggregation-02,37.413862,11.182886,0.060004,6378.975174
2,access-04,33.920617,17.570603,0.10135,262.369111
2,access-05,32.063116,18.905872,0.095235,262.164066
2,access-06,29.196945,19.088615,0.090079,261.093409
2,aggregation-03,26.491205,9.9684,0.086776,6317.845913
2,access-07,26.711096,17.964652,0.124203,256.529708
2,access-08,26.948779,17.282966,0.116541,253.192412
2,access-09,27.266585,16.7494,0.046198,249.295684
2,aggregation-04,29.587282,8.090919,0.09001,5971.204915
2,access-10,33.722674,16.729782,0.144824,240.370428
2,access-11,34.581427,16.145202,0.047836,235.646496
2,access-12,37.660828,15.885994,0.064634,230.961931
2,aggregation-05,40.178965,6.660261,0.041634,5520.36722
2,access-13,41.256101,15.878153,0.090443,222.343589
2,access-14,44.828677,14.852586,0.052575,218.703935
2,access-15,40.65798,15.186812,0.10683,215.681855
2,aggregation-06,39.450385,8.054309,0.069006,5201.149292
2,access-16,38.31577,15.224089,0.058936,211.878362
2,access-17,33.559773,16.517854,0.100756,211.226754
2,access-18,31.474463,16.470957,0.104501,211.447897
3,core-01,35.068158,4.424062,0.091978,31289.863308
3,core-02,38.131799,4.26071,0.077151,31903.135849
3,core-03,39.159945,4.297115,0.046997,32488.316823
3,aggregation-01,41.559906,10.445673,0.100342,6133.295158
3,access-01,41.59709,18.51978,0.061196,255.208848
3,access-02,43.81668,18.439913,0.087534,258.167082
3,access-03,41.801621,19.094956,0.124555,260.396111
3,aggregation-02,38.279193,10.894966,0.12933,6381.859193
3,access-04,34.571978,18.599834,0.11126,262.389752
3,access-05,31.711807,18.269886,0.067648,262.086325
3,access-06,27.436429,18.079501,0.070299,260.91994
3,aggregation-03,26.176846,10.571871,0.085108,6311.428521
3,access-07,25.561843,17.736441,0.0703,256.185607
3,access-08,26.172436,17.577081,0.108414,252.77923
3,access-09,28.357077,17.927813,0.069614,248.827523
3,aggregation-04,26.557509,8.342909,0.101273,5958.842811
3,access-10,32.118795,16.850065,0.083044,239.84157
3,access-11,35.89979,15.73228,0.059525,235.113993
3,access-12,37.627956,15.527386,0.089662,230.443955
3,aggregation-05,38.778372,6.899278,0.107594,5508.526562
3,access-13,39.912378,15.067738,0.051322,221.906601
3,access-14,43.043511,14.675675,0.070444,218.330644
3,access-15,40.006733,15.799955,0.065019,215.384999
3,aggregation-06,40.644378,6.897907,0.092708,5196.023489
3,access-16,38.493377,15.642547,0.073162,211.761816
3,access-17,35.921602,15.620229,0.05737,211.207929
3,access-18,31.875672,15.234973,0.064566,211.527434
4,core-01,34.808991,4.119295,0.071399,31359.676038
4,core-02,38.454344,4.272044,0.035446,31970.819268
4,core-03,38.216137,5.764429,0.116836,32551.561064
4,aggregation-01,40.450655,10.18067,0.068469,6143.815259
4,access-01,42.46081,18.564882,0.101593,255.575445
4,access-02,42.568314,19.493276,0.025773,258.456172
4,access-03,37.845753,18.767042,0.080573,260.597828
4,aggregation-02,38.103056,10.398263,0.022568,6384.478526
4,access-04,33.692844,18.079679,0.079935,262.399287
4,access-05,30.587791,18.569349,0.093854,261.99761
4,access-06,29.578557,18.364658,0.082355,260.736002
4,aggregation-03,27.032593,10.073925,0.102359,6304.77701
